Name,Abbreviation,Description,Interpretation,Result Status,Result 1,Result 2,Result 3,Details
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,mine,8.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,fanout,8.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,entry-cache,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,index,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,follow,7.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,timeline0,7.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,home,8.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,timeline1,7.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,search,9.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,post,10.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,reserve,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,api,11.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,timeline-shard,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,14], lower is better",Multiple Results,entry-store,7.0,,
Services Interdependence in the System,SIY,Count of pairs of services which depend on each other,"Value range: [0,91], lower is better",Single Result,2.0,,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,mine,0.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,fanout,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,entry-cache,3.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,index,2.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,follow,5.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,timeline0,3.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,home,0.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,timeline1,3.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,search,0.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,post,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,reserve,3.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,api,0.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,timeline-shard,3.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,13], lower is better",Multiple Results,entry-store,3.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,mine,2.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,fanout,1.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,entry-cache,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,index,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,follow,6.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,timeline0,2.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,home,3.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,timeline1,2.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,search,2.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,post,4.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,reserve,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,api,2.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,timeline-shard,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,13], lower is better",Multiple Results,entry-store,3.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,mine,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,fanout,1.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,entry-cache,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,index,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,follow,30.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,timeline0,6.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,home,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,timeline1,6.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,search,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,post,4.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,reserve,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,api,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,timeline-shard,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,169], lower is better",Multiple Results,entry-store,9.0,,
Number of Services,NS,Number of services in the system,"Value range: [0,INF), lower is better",Single Result,14.0,,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,mine,0.14,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,fanout,0.07,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,entry-cache,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,index,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,follow,0.43,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,timeline0,0.14,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,home,0.21,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,timeline1,0.14,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,search,0.14,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,post,0.29,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,reserve,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,api,0.14,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,timeline-shard,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,entry-store,0.21,,
Relative Importance of Service,RIS,Degree to which the other services depend on a service,"Value range: [0,1), lower is better",Multiple Results,mine,0.0,,
Relative Importance of Service,RIS,Degree to which the other services depend on a service,"Value range: [0,1), lower is better",Multiple Results,fanout,0.07,,
